Iteration,Experiment,Train_EnvstepsSoFar,Eval_AverageReturn,seed,batch size,learning rate
70,serach_b30000_lr0.02_rtg_nnbaseline,2130000.0,121.8073959350586,seed_4,30000.0,0.02
71,serach_b30000_lr0.02_rtg_nnbaseline,2160000.0,127.26631927490234,seed_4,30000.0,0.02
72,serach_b30000_lr0.02_rtg_nnbaseline,2190000.0,141.01007080078125,seed_4,30000.0,0.02
73,serach_b30000_lr0.02_rtg_nnbaseline,2220000.0,129.21327209472656,seed_4,30000.0,0.02
74,serach_b30000_lr0.02_rtg_nnbaseline,2250000.0,155.66319274902344,seed_4,30000.0,0.02
75,serach_b30000_lr0.02_rtg_nnbaseline,2280000.0,137.16712951660156,seed_4,30000.0,0.02
76,serach_b30000_lr0.02_rtg_nnbaseline,2310000.0,151.21302795410156,seed_4,30000.0,0.02
77,serach_b30000_lr0.02_rtg_nnbaseline,2340000.0,152.18162536621094,seed_4,30000.0,0.02
78,serach_b30000_lr0.02_rtg_nnbaseline,2370000.0,155.4297637939453,seed_4,30000.0,0.02
79,serach_b30000_lr0.02_rtg_nnbaseline,2400000.0,151.53378295898438,seed_4,30000.0,0.02
80,serach_b30000_lr0.02_rtg_nnbaseline,2430000.0,149.84556579589844,seed_4,30000.0,0.02
81,serach_b30000_lr0.02_rtg_nnbaseline,2460000.0,122.89253997802734,seed_4,30000.0,0.02
82,serach_b30000_lr0.02_rtg_nnbaseline,2490000.0,128.5001678466797,seed_4,30000.0,0.02
83,serach_b30000_lr0.02_rtg_nnbaseline,2520000.0,139.95826721191406,seed_4,30000.0,0.02
84,serach_b30000_lr0.02_rtg_nnbaseline,2550000.0,94.5290756225586,seed_4,30000.0,0.02
85,serach_b30000_lr0.02_rtg_nnbaseline,2580000.0,123.18543243408203,seed_4,30000.0,0.02
86,serach_b30000_lr0.02_rtg_nnbaseline,2610000.0,138.53427124023438,seed_4,30000.0,0.02
87,serach_b30000_lr0.02_rtg_nnbaseline,2640000.0,94.54907989501953,seed_4,30000.0,0.02
88,serach_b30000_lr0.02_rtg_nnbaseline,2670000.0,132.0475616455078,seed_4,30000.0,0.02
89,serach_b30000_lr0.02_rtg_nnbaseline,2700000.0,119.62857055664062,seed_4,30000.0,0.02
90,serach_b30000_lr0.02_rtg_nnbaseline,2730000.0,129.76235961914062,seed_4,30000.0,0.02
91,serach_b30000_lr0.02_rtg_nnbaseline,2760000.0,138.4164581298828,seed_4,30000.0,0.02
92,serach_b30000_lr0.02_rtg_nnbaseline,2790000.0,136.6370391845703,seed_4,30000.0,0.02
93,serach_b30000_lr0.02_rtg_nnbaseline,2820000.0,126.86111450195312,seed_4,30000.0,0.02
94,serach_b30000_lr0.02_rtg_nnbaseline,2850000.0,143.26959228515625,seed_4,30000.0,0.02
95,serach_b30000_lr0.02_rtg_nnbaseline,2880000.0,115.6715087890625,seed_4,30000.0,0.02
96,serach_b30000_lr0.02_rtg_nnbaseline,2910000.0,134.43743896484375,seed_4,30000.0,0.02
97,serach_b30000_lr0.02_rtg_nnbaseline,2940000.0,148.99374389648438,seed_4,30000.0,0.02
98,serach_b30000_lr0.02_rtg_nnbaseline,2970000.0,157.7602081298828,seed_4,30000.0,0.02
99,serach_b30000_lr0.02_rtg_nnbaseline,3000000.0,146.26568603515625,seed_4,30000.0,0.02
0,serach_b30000_lr0.02_rtg_nnbaseline,30000.0,-82.32836151123047,seed_1,30000.0,0.02
1,serach_b30000_lr0.02_rtg_nnbaseline,60000.0,-93.30694580078125,seed_1,30000.0,0.02
2,serach_b30000_lr0.02_rtg_nnbaseline,90000.0,-105.3691635131836,seed_1,30000.0,0.02
3,serach_b30000_lr0.02_rtg_nnbaseline,120000.0,-77.54888916015625,seed_1,30000.0,0.02
4,serach_b30000_lr0.02_rtg_nnbaseline,150000.0,-28.598388671875,seed_1,30000.0,0.02
5,serach_b30000_lr0.02_rtg_nnbaseline,180000.0,-65.37890625,seed_1,30000.0,0.02
6,serach_b30000_lr0.02_rtg_nnbaseline,210000.0,-44.02833557128906,seed_1,30000.0,0.02
7,serach_b30000_lr0.02_rtg_nnbaseline,240000.0,-44.35133743286133,seed_1,30000.0,0.02
8,serach_b30000_lr0.02_rtg_nnbaseline,270000.0,-37.861541748046875,seed_1,30000.0,0.02
9,serach_b30000_lr0.02_rtg_nnbaseline,300000.0,-43.13864517211914,seed_1,30000.0,0.02
10,serach_b30000_lr0.02_rtg_nnbaseline,330000.0,-52.88962936401367,seed_1,30000.0,0.02
11,serach_b30000_lr0.02_rtg_nnbaseline,360000.0,-28.303503036499023,seed_1,30000.0,0.02
12,serach_b30000_lr0.02_rtg_nnbaseline,390000.0,-32.43818664550781,seed_1,30000.0,0.02
13,serach_b30000_lr0.02_rtg_nnbaseline,420000.0,-37.485836029052734,seed_1,30000.0,0.02
14,serach_b30000_lr0.02_rtg_nnbaseline,450000.0,-22.738977432250977,seed_1,30000.0,0.02
15,serach_b30000_lr0.02_rtg_nnbaseline,480000.0,-31.208951950073242,seed_1,30000.0,0.02
16,serach_b30000_lr0.02_rtg_nnbaseline,510000.0,-25.95863151550293,seed_1,30000.0,0.02
17,serach_b30000_lr0.02_rtg_nnbaseline,540000.0,-16.969402313232422,seed_1,30000.0,0.02
18,serach_b30000_lr0.02_rtg_nnbaseline,570000.0,-18.96332359313965,seed_1,30000.0,0.02
19,serach_b30000_lr0.02_rtg_nnbaseline,600000.0,-19.135061264038086,seed_1,30000.0,0.02
20,serach_b30000_lr0.02_rtg_nnbaseline,630000.0,-17.4277400970459,seed_1,30000.0,0.02
21,serach_b30000_lr0.02_rtg_nnbaseline,660000.0,-29.48661231994629,seed_1,30000.0,0.02
22,serach_b30000_lr0.02_rtg_nnbaseline,690000.0,-4.646874904632568,seed_1,30000.0,0.02
23,serach_b30000_lr0.02_rtg_nnbaseline,720000.0,-5.7941718101501465,seed_1,30000.0,0.02
24,serach_b30000_lr0.02_rtg_nnbaseline,750000.0,-6.505638599395752,seed_1,30000.0,0.02
25,serach_b30000_lr0.02_rtg_nnbaseline,780000.0,-6.614240646362305,seed_1,30000.0,0.02
26,serach_b30000_lr0.02_rtg_nnbaseline,810000.0,-4.509792327880859,seed_1,30000.0,0.02
27,serach_b30000_lr0.02_rtg_nnbaseline,840000.0,8.97796630859375,seed_1,30000.0,0.02
28,serach_b30000_lr0.02_rtg_nnbaseline,870000.0,-13.63965892791748,seed_1,30000.0,0.02
29,serach_b30000_lr0.02_rtg_nnbaseline,900000.0,-7.334264755249023,seed_1,30000.0,0.02
30,serach_b30000_lr0.02_rtg_nnbaseline,930000.0,-11.111835479736328,seed_1,30000.0,0.02
31,serach_b30000_lr0.02_rtg_nnbaseline,960000.0,14.614731788635254,seed_1,30000.0,0.02
32,serach_b30000_lr0.02_rtg_nnbaseline,990000.0,21.78346824645996,seed_1,30000.0,0.02
33,serach_b30000_lr0.02_rtg_nnbaseline,1020000.0,26.47382926940918,seed_1,30000.0,0.02
34,serach_b30000_lr0.02_rtg_nnbaseline,1050000.0,20.456754684448242,seed_1,30000.0,0.02
35,serach_b30000_lr0.02_rtg_nnbaseline,1080000.0,50.22621154785156,seed_1,30000.0,0.02
36,serach_b30000_lr0.02_rtg_nnbaseline,1110000.0,55.32048416137695,seed_1,30000.0,0.02
37,serach_b30000_lr0.02_rtg_nnbaseline,1140000.0,49.239105224609375,seed_1,30000.0,0.02
38,serach_b30000_lr0.02_rtg_nnbaseline,1170000.0,40.860809326171875,seed_1,30000.0,0.02
39,serach_b30000_lr0.02_rtg_nnbaseline,1200000.0,51.54302978515625,seed_1,30000.0,0.02
40,serach_b30000_lr0.02_rtg_nnbaseline,1230000.0,46.272701263427734,seed_1,30000.0,0.02
41,serach_b30000_lr0.02_rtg_nnbaseline,1260000.0,59.050201416015625,seed_1,30000.0,0.02
42,serach_b30000_lr0.02_rtg_nnbaseline,1290000.0,98.16439056396484,seed_1,30000.0,0.02
43,serach_b30000_lr0.02_rtg_nnbaseline,1320000.0,62.48442077636719,seed_1,30000.0,0.02
44,serach_b30000_lr0.02_rtg_nnbaseline,1350000.0,86.27081298828125,seed_1,30000.0,0.02
45,serach_b30000_lr0.02_rtg_nnbaseline,1380000.0,82.52567291259766,seed_1,30000.0,0.02
46,serach_b30000_lr0.02_rtg_nnbaseline,1410000.0,93.9784927368164,seed_1,30000.0,0.02
47,serach_b30000_lr0.02_rtg_nnbaseline,1440000.0,56.42720031738281,seed_1,30000.0,0.02
48,serach_b30000_lr0.02_rtg_nnbaseline,1470000.0,95.3172378540039,seed_1,30000.0,0.02
49,serach_b30000_lr0.02_rtg_nnbaseline,1500000.0,83.73332977294922,seed_1,30000.0,0.02
50,serach_b30000_lr0.02_rtg_nnbaseline,1530000.0,93.46504974365234,seed_1,30000.0,0.02
51,serach_b30000_lr0.02_rtg_nnbaseline,1560000.0,105.83939361572266,seed_1,30000.0,0.02
52,serach_b30000_lr0.02_rtg_nnbaseline,1590000.0,97.20830535888672,seed_1,30000.0,0.02
53,serach_b30000_lr0.02_rtg_nnbaseline,1620000.0,76.45703125,seed_1,30000.0,0.02
54,serach_b30000_lr0.02_rtg_nnbaseline,1650000.0,100.09029388427734,seed_1,30000.0,0.02
55,serach_b30000_lr0.02_rtg_nnbaseline,1680000.0,80.14901733398438,seed_1,30000.0,0.02
56,serach_b30000_lr0.02_rtg_nnbaseline,1710000.0,104.06990814208984,seed_1,30000.0,0.02
57,serach_b30000_lr0.02_rtg_nnbaseline,1740000.0,84.79417419433594,seed_1,30000.0,0.02
58,serach_b30000_lr0.02_rtg_nnbaseline,1770000.0,83.6511459350586,seed_1,30000.0,0.02
59,serach_b30000_lr0.02_rtg_nnbaseline,1800000.0,100.8935317993164,seed_1,30000.0,0.02
60,serach_b30000_lr0.02_rtg_nnbaseline,1830000.0,120.49869537353516,seed_1,30000.0,0.02
61,serach_b30000_lr0.02_rtg_nnbaseline,1860000.0,118.80521392822266,seed_1,30000.0,0.02
62,serach_b30000_lr0.02_rtg_nnbaseline,1890000.0,87.98397827148438,seed_1,30000.0,0.02
63,serach_b30000_lr0.02_rtg_nnbaseline,1920000.0,113.7044677734375,seed_1,30000.0,0.02
64,serach_b30000_lr0.02_rtg_nnbaseline,1950000.0,145.98764038085938,seed_1,30000.0,0.02
65,serach_b30000_lr0.02_rtg_nnbaseline,1980000.0,103.99471282958984,seed_1,30000.0,0.02
66,serach_b30000_lr0.02_rtg_nnbaseline,2010000.0,111.68450927734375,seed_1,30000.0,0.02
67,serach_b30000_lr0.02_rtg_nnbaseline,2040000.0,125.9100341796875,seed_1,30000.0,0.02
68,serach_b30000_lr0.02_rtg_nnbaseline,2070000.0,117.23052215576172,seed_1,30000.0,0.02
69,serach_b30000_lr0.02_rtg_nnbaseline,2100000.0,113.12487030029297,seed_1,30000.0,0.02
70,serach_b30000_lr0.02_rtg_nnbaseline,2130000.0,121.8073959350586,seed_1,30000.0,0.02
71,serach_b30000_lr0.02_rtg_nnbaseline,2160000.0,127.26631927490234,seed_1,30000.0,0.02
72,serach_b30000_lr0.02_rtg_nnbaseline,2190000.0,141.01007080078125,seed_1,30000.0,0.02
73,serach_b30000_lr0.02_rtg_nnbaseline,2220000.0,129.21327209472656,seed_1,30000.0,0.02
74,serach_b30000_lr0.02_rtg_nnbaseline,2250000.0,155.66319274902344,seed_1,30000.0,0.02
75,serach_b30000_lr0.02_rtg_nnbaseline,2280000.0,137.16712951660156,seed_1,30000.0,0.02
76,serach_b30000_lr0.02_rtg_nnbaseline,2310000.0,151.21302795410156,seed_1,30000.0,0.02
77,serach_b30000_lr0.02_rtg_nnbaseline,2340000.0,152.18162536621094,seed_1,30000.0,0.02
78,serach_b30000_lr0.02_rtg_nnbaseline,2370000.0,155.4297637939453,seed_1,30000.0,0.02
79,serach_b30000_lr0.02_rtg_nnbaseline,2400000.0,151.53378295898438,seed_1,30000.0,0.02
80,serach_b30000_lr0.02_rtg_nnbaseline,2430000.0,149.84556579589844,seed_1,30000.0,0.02
81,serach_b30000_lr0.02_rtg_nnbaseline,2460000.0,122.89253997802734,seed_1,30000.0,0.02
82,serach_b30000_lr0.02_rtg_nnbaseline,2490000.0,128.5001678466797,seed_1,30000.0,0.02
83,serach_b30000_lr0.02_rtg_nnbaseline,2520000.0,139.95826721191406,seed_1,30000.0,0.02
84,serach_b30000_lr0.02_rtg_nnbaseline,2550000.0,94.5290756225586,seed_1,30000.0,0.02
85,serach_b30000_lr0.02_rtg_nnbaseline,2580000.0,123.18543243408203,seed_1,30000.0,0.02
86,serach_b30000_lr0.02_rtg_nnbaseline,2610000.0,138.53427124023438,seed_1,30000.0,0.02
87,serach_b30000_lr0.02_rtg_nnbaseline,2640000.0,94.54907989501953,seed_1,30000.0,0.02
88,serach_b30000_lr0.02_rtg_nnbaseline,2670000.0,132.0475616455078,seed_1,30000.0,0.02
89,serach_b30000_lr0.02_rtg_nnbaseline,2700000.0,119.62857055664062,seed_1,30000.0,0.02
90,serach_b30000_lr0.02_rtg_nnbaseline,2730000.0,129.76235961914062,seed_1,30000.0,0.02
91,serach_b30000_lr0.02_rtg_nnbaseline,2760000.0,138.4164581298828,seed_1,30000.0,0.02
92,serach_b30000_lr0.02_rtg_nnbaseline,2790000.0,136.6370391845703,seed_1,30000.0,0.02
93,serach_b30000_lr0.02_rtg_nnbaseline,2820000.0,126.86111450195312,seed_1,30000.0,0.02
94,serach_b30000_lr0.02_rtg_nnbaseline,2850000.0,143.26959228515625,seed_1,30000.0,0.02
95,serach_b30000_lr0.02_rtg_nnbaseline,2880000.0,115.6715087890625,seed_1,30000.0,0.02
96,serach_b30000_lr0.02_rtg_nnbaseline,2910000.0,134.43743896484375,seed_1,30000.0,0.02
97,serach_b30000_lr0.02_rtg_nnbaseline,2940000.0,148.99374389648438,seed_1,30000.0,0.02
98,serach_b30000_lr0.02_rtg_nnbaseline,2970000.0,157.7602081298828,seed_1,30000.0,0.02
99,serach_b30000_lr0.02_rtg_nnbaseline,3000000.0,146.26568603515625,seed_1,30000.0,0.02
0,serach_b30000_lr0.005_rtg_nnbaseline,30000.0,-106.34972381591797,seed_0,30000.0,0.005
1,serach_b30000_lr0.005_rtg_nnbaseline,60000.0,-82.8192138671875,seed_0,30000.0,0.005
2,serach_b30000_lr0.005_rtg_nnbaseline,90000.0,-90.24407958984375,seed_0,30000.0,0.005
3,serach_b30000_lr0.005_rtg_nnbaseline,120000.0,-62.12969970703125,seed_0,30000.0,0.005
4,serach_b30000_lr0.005_rtg_nnbaseline,150000.0,-48.7796516418457,seed_0,30000.0,0.005
5,serach_b30000_lr0.005_rtg_nnbaseline,180000.0,-82.52989959716797,seed_0,30000.0,0.005
6,serach_b30000_lr0.005_rtg_nnbaseline,210000.0,-77.36503601074219,seed_0,30000.0,0.005
7,serach_b30000_lr0.005_rtg_nnbaseline,240000.0,-54.164066314697266,seed_0,30000.0,0.005
8,serach_b30000_lr0.005_rtg_nnbaseline,270000.0,-84.0685806274414,seed_0,30000.0,0.005
9,serach_b30000_lr0.005_rtg_nnbaseline,300000.0,-70.1956787109375,seed_0,30000.0,0.005
10,serach_b30000_lr0.005_rtg_nnbaseline,330000.0,-112.4477767944336,seed_0,30000.0,0.005
11,serach_b30000_lr0.005_rtg_nnbaseline,360000.0,-89.04339599609375,seed_0,30000.0,0.005
12,serach_b30000_lr0.005_rtg_nnbaseline,390000.0,-76.7105941772461,seed_0,30000.0,0.005
13,serach_b30000_lr0.005_rtg_nnbaseline,420000.0,-24.84545135498047,seed_0,30000.0,0.005
14,serach_b30000_lr0.005_rtg_nnbaseline,450000.0,-85.21862030029297,seed_0,30000.0,0.005
15,serach_b30000_lr0.005_rtg_nnbaseline,480000.0,-79.53836822509766,seed_0,30000.0,0.005
16,serach_b30000_lr0.005_rtg_nnbaseline,510000.0,-107.34036254882812,seed_0,30000.0,0.005
17,serach_b30000_lr0.005_rtg_nnbaseline,540000.0,-72.8954086303711,seed_0,30000.0,0.005
18,serach_b30000_lr0.005_rtg_nnbaseline,570000.0,-61.17597961425781,seed_0,30000.0,0.005
19,serach_b30000_lr0.005_rtg_nnbaseline,600000.0,-41.90903854370117,seed_0,30000.0,0.005
20,serach_b30000_lr0.005_rtg_nnbaseline,630000.0,-61.15208053588867,seed_0,30000.0,0.005
21,serach_b30000_lr0.005_rtg_nnbaseline,660000.0,-22.696792602539062,seed_0,30000.0,0.005
22,serach_b30000_lr0.005_rtg_nnbaseline,690000.0,-78.84891510009766,seed_0,30000.0,0.005
23,serach_b30000_lr0.005_rtg_nnbaseline,720000.0,-31.52604103088379,seed_0,30000.0,0.005
24,serach_b30000_lr0.005_rtg_nnbaseline,750000.0,-34.42143249511719,seed_0,30000.0,0.005
25,serach_b30000_lr0.005_rtg_nnbaseline,780000.0,-35.667015075683594,seed_0,30000.0,0.005
26,serach_b30000_lr0.005_rtg_nnbaseline,810000.0,-46.467037200927734,seed_0,30000.0,0.005
27,serach_b30000_lr0.005_rtg_nnbaseline,840000.0,-64.88288116455078,seed_0,30000.0,0.005
28,serach_b30000_lr0.005_rtg_nnbaseline,870000.0,-22.925050735473633,seed_0,30000.0,0.005
29,serach_b30000_lr0.005_rtg_nnbaseline,900000.0,-47.15938949584961,seed_0,30000.0,0.005
30,serach_b30000_lr0.005_rtg_nnbaseline,930000.0,-35.3350830078125,seed_0,30000.0,0.005
31,serach_b30000_lr0.005_rtg_nnbaseline,960000.0,-39.04586410522461,seed_0,30000.0,0.005
32,serach_b30000_lr0.005_rtg_nnbaseline,990000.0,-44.20724105834961,seed_0,30000.0,0.005
33,serach_b30000_lr0.005_rtg_nnbaseline,1020000.0,-21.553647994995117,seed_0,30000.0,0.005
34,serach_b30000_lr0.005_rtg_nnbaseline,1050000.0,-45.405574798583984,seed_0,30000.0,0.005
35,serach_b30000_lr0.005_rtg_nnbaseline,1080000.0,-64.95317077636719,seed_0,30000.0,0.005
36,serach_b30000_lr0.005_rtg_nnbaseline,1110000.0,-26.537282943725586,seed_0,30000.0,0.005
37,serach_b30000_lr0.005_rtg_nnbaseline,1140000.0,-38.93669509887695,seed_0,30000.0,0.005
38,serach_b30000_lr0.005_rtg_nnbaseline,1170000.0,-47.05780029296875,seed_0,30000.0,0.005
39,serach_b30000_lr0.005_rtg_nnbaseline,1200000.0,2.018120527267456,seed_0,30000.0,0.005
40,serach_b30000_lr0.005_rtg_nnbaseline,1230000.0,-26.811256408691406,seed_0,30000.0,0.005
41,serach_b30000_lr0.005_rtg_nnbaseline,1260000.0,-37.69771957397461,seed_0,30000.0,0.005
42,serach_b30000_lr0.005_rtg_nnbaseline,1290000.0,-48.90120315551758,seed_0,30000.0,0.005
43,serach_b30000_lr0.005_rtg_nnbaseline,1320000.0,-47.95036697387695,seed_0,30000.0,0.005
44,serach_b30000_lr0.005_rtg_nnbaseline,1350000.0,17.0960693359375,seed_0,30000.0,0.005
45,serach_b30000_lr0.005_rtg_nnbaseline,1380000.0,-42.14113998413086,seed_0,30000.0,0.005
46,serach_b30000_lr0.005_rtg_nnbaseline,1410000.0,-39.73331069946289,seed_0,30000.0,0.005
47,serach_b30000_lr0.005_rtg_nnbaseline,1440000.0,-27.71917152404785,seed_0,30000.0,0.005
48,serach_b30000_lr0.005_rtg_nnbaseline,1470000.0,-31.53325653076172,seed_0,30000.0,0.005
49,serach_b30000_lr0.005_rtg_nnbaseline,1500000.0,-38.707279205322266,seed_0,30000.0,0.005
50,serach_b30000_lr0.005_rtg_nnbaseline,1530000.0,-52.19752883911133,seed_0,30000.0,0.005
51,serach_b30000_lr0.005_rtg_nnbaseline,1560000.0,-30.471750259399414,seed_0,30000.0,0.005
52,serach_b30000_lr0.005_rtg_nnbaseline,1590000.0,-38.116943359375,seed_0,30000.0,0.005
53,serach_b30000_lr0.005_rtg_nnbaseline,1620000.0,-35.848228454589844,seed_0,30000.0,0.005
54,serach_b30000_lr0.005_rtg_nnbaseline,1650000.0,-33.892154693603516,seed_0,30000.0,0.005
55,serach_b30000_lr0.005_rtg_nnbaseline,1680000.0,-46.57400894165039,seed_0,30000.0,0.005
56,serach_b30000_lr0.005_rtg_nnbaseline,1710000.0,-27.825477600097656,seed_0,30000.0,0.005
57,serach_b30000_lr0.005_rtg_nnbaseline,1740000.0,-10.901835441589355,seed_0,30000.0,0.005
58,serach_b30000_lr0.005_rtg_nnbaseline,1770000.0,-20.04972267150879,seed_0,30000.0,0.005
59,serach_b30000_lr0.005_rtg_nnbaseline,1800000.0,-21.6832218170166,seed_0,30000.0,0.005
60,serach_b30000_lr0.005_rtg_nnbaseline,1830000.0,-35.86325454711914,seed_0,30000.0,0.005
61,serach_b30000_lr0.005_rtg_nnbaseline,1860000.0,-18.607025146484375,seed_0,30000.0,0.005
62,serach_b30000_lr0.005_rtg_nnbaseline,1890000.0,-34.517791748046875,seed_0,30000.0,0.005
63,serach_b30000_lr0.005_rtg_nnbaseline,1920000.0,-24.12042808532715,seed_0,30000.0,0.005
64,serach_b30000_lr0.005_rtg_nnbaseline,1950000.0,-33.1821174621582,seed_0,30000.0,0.005
65,serach_b30000_lr0.005_rtg_nnbaseline,1980000.0,-7.661828517913818,seed_0,30000.0,0.005
66,serach_b30000_lr0.005_rtg_nnbaseline,2010000.0,-34.70431900024414,seed_0,30000.0,0.005
67,serach_b30000_lr0.005_rtg_nnbaseline,2040000.0,-1.0694833993911743,seed_0,30000.0,0.005
68,serach_b30000_lr0.005_rtg_nnbaseline,2070000.0,-20.968446731567383,seed_0,30000.0,0.005
69,serach_b30000_lr0.005_rtg_nnbaseline,2100000.0,-17.031587600708008,seed_0,30000.0,0.005
70,serach_b30000_lr0.005_rtg_nnbaseline,2130000.0,-4.265743732452393,seed_0,30000.0,0.005
71,serach_b30000_lr0.005_rtg_nnbaseline,2160000.0,-20.433195114135742,seed_0,30000.0,0.005
72,serach_b30000_lr0.005_rtg_nnbaseline,2190000.0,-8.226919174194336,seed_0,30000.0,0.005
73,serach_b30000_lr0.005_rtg_nnbaseline,2220000.0,-19.926429748535156,seed_0,30000.0,0.005
74,serach_b30000_lr0.005_rtg_nnbaseline,2250000.0,-18.995601654052734,seed_0,30000.0,0.005
75,serach_b30000_lr0.005_rtg_nnbaseline,2280000.0,-11.708930969238281,seed_0,30000.0,0.005
76,serach_b30000_lr0.005_rtg_nnbaseline,2310000.0,-14.121421813964844,seed_0,30000.0,0.005
77,serach_b30000_lr0.005_rtg_nnbaseline,2340000.0,-7.185157775878906,seed_0,30000.0,0.005
78,serach_b30000_lr0.005_rtg_nnbaseline,2370000.0,-9.5210542678833,seed_0,30000.0,0.005
79,serach_b30000_lr0.005_rtg_nnbaseline,2400000.0,-12.398898124694824,seed_0,30000.0,0.005
80,serach_b30000_lr0.005_rtg_nnbaseline,2430000.0,-11.887874603271484,seed_0,30000.0,0.005
81,serach_b30000_lr0.005_rtg_nnbaseline,2460000.0,-9.598692893981934,seed_0,30000.0,0.005
82,serach_b30000_lr0.005_rtg_nnbaseline,2490000.0,8.54059886932373,seed_0,30000.0,0.005
83,serach_b30000_lr0.005_rtg_nnbaseline,2520000.0,-5.538537502288818,seed_0,30000.0,0.005
84,serach_b30000_lr0.005_rtg_nnbaseline,2550000.0,-10.296246528625488,seed_0,30000.0,0.005
85,serach_b30000_lr0.005_rtg_nnbaseline,2580000.0,11.959023475646973,seed_0,30000.0,0.005
86,serach_b30000_lr0.005_rtg_nnbaseline,2610000.0,8.797446250915527,seed_0,30000.0,0.005
87,serach_b30000_lr0.005_rtg_nnbaseline,2640000.0,1.7203741073608398,seed_0,30000.0,0.005
88,serach_b30000_lr0.005_rtg_nnbaseline,2670000.0,3.239896059036255,seed_0,30000.0,0.005
89,serach_b30000_lr0.005_rtg_nnbaseline,2700000.0,4.74783182144165,seed_0,30000.0,0.005
90,serach_b30000_lr0.005_rtg_nnbaseline,2730000.0,27.559534072875977,seed_0,30000.0,0.005
91,serach_b30000_lr0.005_rtg_nnbaseline,2760000.0,5.878171443939209,seed_0,30000.0,0.005
92,serach_b30000_lr0.005_rtg_nnbaseline,2790000.0,2.815812349319458,seed_0,30000.0,0.005
93,serach_b30000_lr0.005_rtg_nnbaseline,2820000.0,16.242198944091797,seed_0,30000.0,0.005
94,serach_b30000_lr0.005_rtg_nnbaseline,2850000.0,-0.3158073425292969,seed_0,30000.0,0.005
95,serach_b30000_lr0.005_rtg_nnbaseline,2880000.0,26.158693313598633,seed_0,30000.0,0.005
96,serach_b30000_lr0.005_rtg_nnbaseline,2910000.0,33.155582427978516,seed_0,30000.0,0.005
97,serach_b30000_lr0.005_rtg_nnbaseline,2940000.0,23.38181495666504,seed_0,30000.0,0.005
98,serach_b30000_lr0.005_rtg_nnbaseline,2970000.0,28.76546287536621,seed_0,30000.0,0.005
99,serach_b30000_lr0.005_rtg_nnbaseline,3000000.0,43.15532302856445,seed_0,30000.0,0.005
0,serach_b30000_lr0.01_rtg_nnbaseline,30000.0,-91.36724090576172,seed_3,30000.0,0.01
1,serach_b30000_lr0.01_rtg_nnbaseline,60000.0,-74.41697692871094,seed_3,30000.0,0.01
2,serach_b30000_lr0.01_rtg_nnbaseline,90000.0,-94.84107208251953,seed_3,30000.0,0.01
3,serach_b30000_lr0.01_rtg_nnbaseline,120000.0,-75.2342758178711,seed_3,30000.0,0.01
4,serach_b30000_lr0.01_rtg_nnbaseline,150000.0,-25.325536727905273,seed_3,30000.0,0.01
5,serach_b30000_lr0.01_rtg_nnbaseline,180000.0,-78.2314224243164,seed_3,30000.0,0.01
6,serach_b30000_lr0.01_rtg_nnbaseline,210000.0,-47.57071304321289,seed_3,30000.0,0.01
7,serach_b30000_lr0.01_rtg_nnbaseline,240000.0,-32.94232177734375,seed_3,30000.0,0.01
8,serach_b30000_lr0.01_rtg_nnbaseline,270000.0,-71.212890625,seed_3,30000.0,0.01
9,serach_b30000_lr0.01_rtg_nnbaseline,300000.0,-53.75799560546875,seed_3,30000.0,0.01
10,serach_b30000_lr0.01_rtg_nnbaseline,330000.0,-83.32809448242188,seed_3,30000.0,0.01
11,serach_b30000_lr0.01_rtg_nnbaseline,360000.0,-55.03554153442383,seed_3,30000.0,0.01
12,serach_b30000_lr0.01_rtg_nnbaseline,390000.0,-43.995635986328125,seed_3,30000.0,0.01
13,serach_b30000_lr0.01_rtg_nnbaseline,420000.0,-60.976898193359375,seed_3,30000.0,0.01
14,serach_b30000_lr0.01_rtg_nnbaseline,450000.0,-57.486698150634766,seed_3,30000.0,0.01
15,serach_b30000_lr0.01_rtg_nnbaseline,480000.0,-65.14978790283203,seed_3,30000.0,0.01
16,serach_b30000_lr0.01_rtg_nnbaseline,510000.0,-48.69431686401367,seed_3,30000.0,0.01
17,serach_b30000_lr0.01_rtg_nnbaseline,540000.0,-40.90480422973633,seed_3,30000.0,0.01
18,serach_b30000_lr0.01_rtg_nnbaseline,570000.0,-52.2476692199707,seed_3,30000.0,0.01
19,serach_b30000_lr0.01_rtg_nnbaseline,600000.0,-27.427549362182617,seed_3,30000.0,0.01
20,serach_b30000_lr0.01_rtg_nnbaseline,630000.0,-38.154205322265625,seed_3,30000.0,0.01
21,serach_b30000_lr0.01_rtg_nnbaseline,660000.0,-41.657718658447266,seed_3,30000.0,0.01
22,serach_b30000_lr0.01_rtg_nnbaseline,690000.0,-24.687875747680664,seed_3,30000.0,0.01
23,serach_b30000_lr0.01_rtg_nnbaseline,720000.0,-20.485889434814453,seed_3,30000.0,0.01
24,serach_b30000_lr0.01_rtg_nnbaseline,750000.0,-31.484548568725586,seed_3,30000.0,0.01
25,serach_b30000_lr0.01_rtg_nnbaseline,780000.0,-63.839054107666016,seed_3,30000.0,0.01
26,serach_b30000_lr0.01_rtg_nnbaseline,810000.0,-23.212533950805664,seed_3,30000.0,0.01
